Time Stamp,User,Compound,Positive,Neutral,Negative,Tweet,Tweet_Ago
12/6/2018,@Boeing,0.3612,0.161,0.839,0,"Thank you, @BW for naming @BoeingDefense CEO Leanne Caret to #Bloomberg50. MORE: https://t.co/OTdl55CSJt https://t.co/6UBI9PeRSH",76
12/1/2018,@Boeing,0.2023,0.129,0.776,0.095,"RT @BoeingCEO: Patriot, humanitarian, veteran, father – President George H. W. Bush will be missed by his family and a grateful nation.",77
11/30/2018,@Boeing,0,0,1,0,That's a wrap! Check out Amsterdam Drone Week highlights from this Twitter Moment. #AMSdroneweek… https://t.co/OJvvKcz3nv,78
11/27/2018,@Boeing,0,0,1,0,"The future of low-stress, time-saving mobility is closer than you think! See how autonomous and piloted air vehicle… https://t.co/9pNyVSHUiI",79
11/27/2018,@Boeing,0.7003,0.537,0.463,0,Proud to support our veterans #GivingTuesday https://t.co/hksy06LI0d,80
11/21/2018,@Boeing,0.5719,0.171,0.829,0,"RT @BoeingSpace: As we celebrate #SpaceStation20th, the next generation’s ride is coming together: this is our first flight-worthy #Starlin…",81
11/20/2018,@Boeing,0.6114,0.235,0.765,0,"RT @BoeingSpace: Happy #SpaceStation20th! 
A revolutionary laboratory. A beacon of international cooperation. An engineering phenomenon. Th…",82
11/20/2018,@Boeing,0,0,1,0,"Before cars can fly, a next-generation airspace operating system must be built. We are forming @skygridai to ensure… https://t.co/EiW5xW7fu8",83
11/19/2018,@Boeing,0.2732,0.116,0.884,0,"Our employee gift-matches have increased by 30% over the last 5 years. That's how #BoeingInspires

Learn more:… https://t.co/YNZjD2ePZn",84
11/19/2018,@Boeing,0.4019,0.13,0.87,0,"In 10 years we’ve donated more than $1 billion to support our communities. That’s how #BoeingInspires

Learn more:… https://t.co/OTjqGLF2zD",85
11/19/2018,@Boeing,0.6615,0.274,0.648,0.079,Our commitment to #veterans has never been stronger. This year we are proud to donate $13 million in grants for vet… https://t.co/vfHZW27JIX,86
11/19/2018,@Boeing,0.5255,0.215,0.785,0,"3...2...1... LIFTOFF! With close to 300 grants to education nonprofits, we're helping launch students into future S… https://t.co/8LIceloQtX",87
11/19/2018,@Boeing,0.7184,0.304,0.696,0,We’re excited to donate more than $55 million in charitable grants to hundreds of deserving nonprofit partners arou… https://t.co/mzhnBMmQ2z,88
11/15/2018,@Boeing,0.2732,0.104,0.896,0,RT @BoeingSpace: Go behind-the-scenes during the creation of the #PhantomExpress liquid oxygen propellant tank. It’s made of a lighter comp…,89
11/14/2018,@Boeing,0.4144,0.165,0.835,0,"RT @AuroraFlightSci: Solar-powered, fully autonomous, and ready to meet the mission. Discover Odysseus: https://t.co/wzKlgXn7Vr #TheFutureI…",90
11/14/2018,@Boeing,0.9537,0.535,0.465,0,"RT @AuroraFlightSci: Thank you, @AviationWeek! Honored to receive a 2019 Laureate Award and proud of our amazing AACUS team! More: https://…",91
11/9/2018,@Boeing,0,0,1,0,"RELEASE: #Boeing, @Safran Joint Venture to start operations &amp; begin designing auxiliary power units. Learn more:… https://t.co/pO55fgJFUE",92
11/7/2018,@Boeing,0,0,1,0,RT @BoeingAirplanes: Boeing Statement on Operations Manual Bulletin: https://t.co/5e18xbb4uX,93
10/29/2018,@Boeing,-0.3939,0.134,0.681,0.185,"RT @BoeingAirplanes: We are deeply saddened by the loss of Lion Air Flight JT 610. We express our concern for those on board, and extend he…",94
10/29/2018,@Boeing,-0.4767,0,0.838,0.162,RT @BoeingAirplanes: Boeing is aware of reports of an airplane accident and is closely monitoring the situation.,95
10/24/2018,@Boeing,0.7269,0.336,0.664,0,".@BoeingCEO: “We are positioned for continued market leadership, sustained growth and increased value for our custo… https://t.co/AP4DTLiPWe",96
10/24/2018,@Boeing,0.3818,0.178,0.822,0,2018 revenue and earnings guidance raised on volume growth and performance. $BA https://t.co/xyUhfDONMT,97
10/24/2018,@Boeing,0.5719,0.179,0.821,0,"We won $4 billion in new services business, including an order for 20 #737 Boeing Converted Freighters.… https://t.co/riFNyd00Z5",98
10/24/2018,@Boeing,0,0,1,0,"We received contracts for three @BoeingDefense future franchises – #NewBoeingTX, #MQ25 and #MH139! $BA https://t.co/bBVRapsOdA",99
10/24/2018,@Boeing,0,0,1,0,We completed the first #777X ground test airplane. @BoeingAirplanes $BA https://t.co/8J9lN2fxtQ,100
10/24/2018,@Boeing,0,0,1,0,LIVE: higher revenue and operating cash – check it out! $BA Learn more: https://t.co/6d9YjX16yF https://t.co/QvSZuvE6KO,101
10/24/2018,@Boeing,0.1531,0.086,0.914,0,"RELEASE: #Boeing reports solid third quarter; reaffirms cash and raises revenue and EPS guidance. $BA 

Learn more:… https://t.co/mGlumzh97T",102
10/22/2018,@Boeing,0.9022,0.483,0.517,0,"We’re committed to a safer, cleaner future for generations to come and honored to be awarded the @NSCsafety Robert… https://t.co/ywLb9innpW",103
10/20/2018,@Boeing,0.8225,0.417,0.583,0,RT @BoeingAustralia: Inspiring. Incredible. Proud to support the Invictus Games Sydney 2018. #IG2018 #VeteransMakeUsBetter https://t.co/hJC…,104
10/19/2018,@Boeing,0.296,0.109,0.891,0,"Why seek out a mentor? These Boeing engineers share how their mentor Kristin Robertson, #Boeing VP of Autonomous Sy… https://t.co/dmad5hfrN6",105
10/18/2018,@Boeing,0.1759,0.145,0.855,0,Cleared for take-off! We’re making strategic investments in future capabilities: https://t.co/pq5dxb5mTv,106
10/17/2018,@Boeing,0.7351,0.324,0.676,0,"In our complex world, the need for solutions in secure communications, artificial intelligence &amp; complex system opt… https://t.co/I1herMNENY",107
10/14/2018,@Boeing,0.7845,0.301,0.699,0,Our own Satoya Pettiford with her mother and daughter to inspire and be inspired at @WOCTechnology conference.… https://t.co/YuguS42ccb,108
10/14/2018,@Boeing,-0.7906,0,0.731,0.269,“Embrace the chaos of failure. I made it my job to break stuff” – Boeing leader Paris Forest at #WOC18 conference p… https://t.co/qocJuVBV0P,109
10/14/2018,@Boeing,0.7951,0.321,0.679,0,So many amazing Boeing women were recognized &amp; received #WOC18 awards for their accomplishments in #STEM.… https://t.co/sukYdcT7a0,110
10/14/2018,@Boeing,0.4215,0.135,0.865,0,"“We have to choose talent over biases,” said #Boeing leader Gena Lovett on a panel at the @WOCTechnology conference… https://t.co/2CLs65M1nN",111
10/14/2018,@Boeing,0.8439,0.336,0.664,0,We’re at the @WOCTechnology conference speaking and meeting with awesome women to inspire the next generation! Foll… https://t.co/sZPbNsGQU9,112
10/11/2018,@Boeing,0,0,1,0,@leonardo_live @AgustaWestland @Leonardo_Sec @AleniaAermacchi @PZLSwidnik @LeonardoDefence @Leonardo_UK… https://t.co/1kUOiP9uRm,113
10/10/2018,@Boeing,0,0,1,0,"RT @BoeingSpace: Before being #FirstMan, @NASA’s Neil Armstrong flew the hypersonic X-15. Here he is in 1961 getting the keys to the test p…",114
10/10/2018,@Boeing,0.4019,0.172,0.828,0,How can something smaller than a quarter help transform next-generation propulsion? #BoeingHorizonX invests in… https://t.co/CQTVTjSYsr,115
10/9/2018,@Boeing,0,0,1,0,"We’ve delivered 66 military and 568 commercial aircraft this year, including 106 787 #Dreamliner airplanes. Learn m… https://t.co/0ZHv1iLiYx",116
10/9/2018,@Boeing,0.5093,0.171,0.829,0,RELEASE: We have officially closed on the acquisition of @KLXAerospace! This deal strengthens our services offering… https://t.co/qQHkDyY88f,117
10/7/2018,@Boeing,0.91,0.469,0.531,0,"Awesome partnership with @SASEconnect to develop next-gen leaders, celebrate diversity and inspire more to enter… https://t.co/TzIBIcNjeC",118
10/3/2018,@Boeing,0.7269,0.295,0.705,0,Join us tomorrow at the @OutandEqual Career Fair to learn more about our #Boeing career opportunities. If you’re no… https://t.co/WsLDcRtw7A,119
10/3/2018,@Boeing,0,0,1,0,We are showing our #BoeingPride at this year’s #OESummit. That’s how #BoeingInspires https://t.co/vVQP8PifUF,120
10/3/2018,@Boeing,-0.3612,0,0.878,0.122,"“Thank you to all LGBTQ+ for your individual struggles, your deliberate actions and for your quiet examples. Becaus… https://t.co/lldB76ODV0",121
10/3/2018,@Boeing,0.4939,0.144,0.856,0,"We're at @geekwire summit, talking about the future of flight. Our unmanned cargo air vehicle will safely deliver t… https://t.co/wPnJIneiu2",122
10/3/2018,@Boeing,0,0,1,0,"At #OESummit, we are #PoweredByPride and standing with our LGBTQ+ community. That’s how #BoeingInspires https://t.co/2XNCT5n1QI",123
10/3/2018,@Boeing,0,0,1,0,How are we redefining aviation and connecting the world faster than ever before? Tune in live today at 11:25 PST to… https://t.co/PtZl4iKeL0,124
10/3/2018,@Boeing,0.3612,0.152,0.848,0,"At @geekwire summit, we're showcasing our #BoeingHorizonX investments, like @matternet, a startup that pioneers unm… https://t.co/klxmthsz0f",125
10/2/2018,@Boeing,0,0,1,0,"LIVE At 5:50 p.m. EST today:  @BoeingDefense CEO Leanne Caret at the #FortuneMPW summit. #WomenMakeUsBetter

Tune i… https://t.co/cQCMozJ9kU",126
10/1/2018,@Boeing,0.9551,0.587,0.413,0,"RT @BoeingSpace: Happy #NASA60th!
Congratulations to our friends @NASA for their pioneering spirit, constant innovation and bravery to purs…",127
9/30/2018,@Boeing,0.8172,0.321,0.679,0,"RT @BoeingCEO: Thanks @theNAEng! It’s humbling to join my #Boeing and @AuroraFlightSci teammates, Kevin Wise and Dr. John Langford, in #NAE…",128
9/27/2018,@Boeing,0,0,1,0,"Clarification: today’s contract for up to $9.2 B from USAF for T-X funds initial planned purchase of 351 jets, 46 s… https://t.co/GjhmAGKyLp",129
9/27/2018,@Boeing,0.3786,0.12,0.88,0,RT @BoeingDefense: It’s official! @USAirForce selects #NewBoeingTX as the next advanced pilot training system for the #USAF mission! Turn y…,130
9/27/2018,@Boeing,0,0,1,0,NOW: @USAirForce selects #NewBoeingTX for its future training mission. https://t.co/yrVgEFDsxL,131
9/26/2018,@Boeing,0.7644,0.32,0.68,0,"RT @BoeingSpace: Thank you, @INTELSAT + #SKYPerfectJSAT + @Arianespace, for a successful launch of the #Boeing-built Horizons 3e satellite!…",132
9/25/2018,@Boeing,0.4019,0.124,0.876,0,"Our digital payload, the brain of the satellite, will help people living and working in the Asia-Pacific region and… https://t.co/KPXIFgttFg",133
