Date,Open,High,Low,Close,Adj Close,Volume
2017-02-02,163.220001,163.970001,160.820007,162.259995,154.046280,3791700
2017-02-03,162.990005,163.559998,162.309998,162.399994,154.179169,2981700
2017-02-06,162.419998,164.080002,162.380005,163.979996,155.679199,3110500
2017-02-07,165.000000,167.419998,164.869995,166.500000,158.071625,4243200
2017-02-08,165.000000,165.240005,163.690002,163.809998,156.855560,3041600
2017-02-09,164.669998,165.089996,164.059998,164.279999,157.305603,3451100
2017-02-10,165.250000,166.449997,164.470001,166.229996,159.172821,2689700
2017-02-13,166.449997,169.070007,166.350006,168.029999,160.896378,3765000
2017-02-14,167.699997,168.800003,167.220001,168.500000,161.346436,2579300
2017-02-15,168.419998,169.949997,168.350006,169.300003,162.112488,4033200
2017-02-16,169.740005,170.809998,168.750000,170.809998,163.558380,3070100
2017-02-17,170.410004,173.250000,170.399994,172.710007,165.377716,4982900
2017-02-21,173.919998,176.169998,173.679993,175.559998,168.106735,4231700
2017-02-22,174.979996,175.750000,174.009995,175.360001,167.915207,2832100
2017-02-23,175.970001,177.000000,175.699997,176.860001,169.351501,3502600
2017-02-24,176.750000,178.800003,176.100006,177.440002,169.906906,4197200
2017-02-27,178.000000,179.880005,177.550003,179.429993,171.812408,2892600
2017-02-28,180.339996,181.929993,179.669998,180.229996,172.578445,4785100
2017-03-01,181.850006,184.800003,181.820007,183.910004,176.102234,5461800
2017-03-02,184.000000,185.710007,182.970001,182.990005,175.221283,4909000
2017-03-03,182.990005,183.580002,181.449997,182.179993,174.445663,3917500
2017-03-06,181.399994,182.300003,180.429993,180.929993,173.248718,4244000
2017-03-07,180.639999,182.839996,180.619995,182.020004,174.292450,2452000
2017-03-08,182.399994,182.690002,181.490005,181.740005,174.024338,2321700
2017-03-09,181.429993,182.589996,179.580002,180.570007,172.904007,3100500
2017-03-10,181.899994,181.970001,177.919998,178.699997,171.113419,4595600
2017-03-13,177.160004,179.190002,177.070007,179.050003,171.448532,3499000
2017-03-14,178.539993,179.690002,177.710007,178.729996,171.142136,2346700
2017-03-15,179.000000,179.240005,177.970001,178.710007,171.122986,3569000
2017-03-16,179.820007,180.000000,177.639999,178.190002,170.625046,3100700
2017-03-17,178.309998,180.380005,178.169998,180.100006,172.453979,5037400
2017-03-20,180.100006,180.149994,179.139999,179.389999,171.774109,2062200
2017-03-21,179.990005,180.250000,175.500000,175.960007,168.489746,3239600
2017-03-22,175.960007,177.100006,175.500000,176.979996,169.466431,2505700
2017-03-23,177.339996,177.850006,176.589996,177.259995,169.734528,2006400
2017-03-24,176.850006,177.529999,174.770004,175.820007,168.355698,2386800
2017-03-27,174.369995,176.440002,173.750000,176.100006,168.623810,2750700
2017-03-28,176.289993,177.679993,175.000000,177.360001,169.830276,2412600
2017-03-29,177.399994,177.990005,176.970001,177.630005,170.088852,1640600
2017-03-30,177.250000,178.490005,177.220001,177.979996,170.423950,1737200
2017-03-31,178.020004,178.179993,176.809998,176.860001,169.351501,2032700
2017-04-03,177.080002,177.729996,175.500000,176.649994,169.150436,2934800
2017-04-04,176.880005,178.789993,176.759995,178.699997,171.113419,2326500
2017-04-05,179.000000,180.179993,176.889999,177.080002,169.562164,2567200
2017-04-06,177.559998,178.220001,177.119995,177.369995,169.839859,2343600
2017-04-07,178.389999,179.089996,177.259995,178.850006,171.257034,2806900
2017-04-10,179.000000,179.970001,177.479996,177.559998,170.021790,2309300
2017-04-11,177.500000,178.600006,176.960007,178.570007,170.988922,2266300
2017-04-12,178.250000,178.250000,175.940002,176.050003,168.575912,2922700
2017-04-13,175.740005,176.880005,175.559998,175.619995,168.164185,2024100
2017-04-17,175.839996,179.080002,175.649994,179.020004,171.419815,2450200
2017-04-18,178.589996,179.970001,177.119995,177.850006,170.299500,2960200
2017-04-19,178.470001,179.899994,178.160004,178.399994,170.826126,2124500
2017-04-20,178.740005,179.820007,178.350006,179.300003,171.687927,2335200
2017-04-21,179.419998,180.929993,179.419998,180.380005,172.722092,3146600
2017-04-24,181.750000,182.460007,181.610001,182.059998,174.330765,3141900
2017-04-25,182.529999,183.850006,182.529999,183.509995,175.719177,3735400
2017-04-26,182.309998,183.000000,180.110001,181.710007,173.995651,4471600
2017-04-27,182.589996,183.759995,182.589996,183.220001,175.441513,3129100
2017-04-28,183.419998,184.929993,183.020004,184.830002,176.983154,2171700
2017-05-01,184.229996,184.490005,181.800003,182.389999,174.646759,3516700
2017-05-02,182.539993,183.910004,182.529999,183.440002,175.652161,1979800
2017-05-03,183.449997,183.750000,182.250000,183.389999,175.604309,2983200
2017-05-04,183.330002,184.250000,182.179993,183.070007,175.297882,2289300
2017-05-05,183.160004,185.070007,183.160004,185.009995,177.155502,2636900
2017-05-08,185.380005,186.389999,185.000000,186.020004,178.122650,1963400
2017-05-09,186.110001,187.210007,186.050003,186.910004,178.974869,3004000
2017-05-10,185.139999,185.649994,178.179993,183.179993,176.746002,7060100
2017-05-11,182.899994,184.330002,182.169998,183.940002,177.479279,2883800
2017-05-12,183.710007,183.979996,182.630005,183.250000,176.813553,3479200
2017-05-15,183.300003,184.110001,182.279999,182.389999,175.983734,3365000
2017-05-16,182.729996,183.149994,182.039993,182.699997,176.282852,2156100
2017-05-17,182.699997,182.699997,178.679993,178.779999,172.500549,2535700
2017-05-18,178.479996,178.500000,175.470001,177.399994,171.168991,3118100
2017-05-19,177.729996,181.419998,176.770004,180.759995,174.410980,4038900
2017-05-22,183.779999,185.320007,182.520004,183.669998,177.218796,2946800
2017-05-23,184.000000,184.460007,182.860001,183.490005,177.045120,2123800
2017-05-24,183.460007,185.399994,183.460007,185.250000,178.743286,2424700
2017-05-25,185.630005,187.419998,185.589996,187.070007,180.499374,2363300
2017-05-26,186.729996,187.610001,186.270004,186.589996,180.036224,1735800
2017-05-30,186.759995,187.419998,186.190002,186.880005,180.316055,2231600
2017-05-31,187.369995,188.259995,186.720001,187.630005,181.039688,5186700
2017-06-01,187.410004,187.910004,184.529999,187.320007,180.740601,2870200
2017-06-02,187.820007,191.699997,187.649994,190.229996,183.548355,3034300
2017-06-05,190.070007,190.740005,188.809998,188.949997,182.313339,2522100
2017-06-06,188.410004,188.860001,186.690002,186.750000,180.190598,2725000
2017-06-07,186.850006,188.539993,186.389999,188.100006,181.493179,2383500
2017-06-08,188.100006,191.070007,187.699997,189.929993,183.258896,2331300
2017-06-09,190.000000,190.990005,189.250000,190.029999,183.355392,3344900
2017-06-12,190.300003,190.529999,188.050003,190.000000,183.326447,2730100
2017-06-13,190.050003,191.559998,189.350006,191.089996,184.378174,1882700
2017-06-14,191.050003,193.380005,190.820007,192.380005,185.622849,2210000
2017-06-15,191.429993,195.550003,191.369995,195.449997,188.585022,2894100
2017-06-16,196.009995,197.949997,195.809998,196.440002,189.540268,6939100
2017-06-19,197.880005,199.470001,197.000000,199.080002,192.087540,2726400
2017-06-20,198.750000,201.240005,198.309998,198.330002,191.363861,3077400
2017-06-21,199.580002,199.710007,197.559998,199.169998,192.174362,3151100
2017-06-22,199.250000,200.410004,199.179993,199.440002,192.434875,3339300
2017-06-23,199.259995,202.350006,198.679993,202.229996,195.126877,4310100
2017-06-26,202.770004,204.389999,199.940002,199.979996,192.955917,3077600
2017-06-27,199.800003,200.919998,198.889999,198.889999,191.904205,2296900
2017-06-28,199.500000,200.949997,199.300003,199.619995,192.608551,2096800
2017-06-29,199.619995,199.759995,196.449997,197.460007,190.524429,2428900
2017-06-30,198.500000,199.440002,197.389999,197.750000,190.804245,2225600
2017-07-03,198.070007,199.440002,197.750000,198.589996,191.614746,1511200
2017-07-05,199.300003,202.139999,198.860001,201.809998,194.721634,2716700
2017-07-06,201.639999,202.490005,200.779999,201.479996,194.403229,2737400
2017-07-07,202.240005,203.279999,201.259995,202.369995,195.261963,3090400
2017-07-10,202.320007,204.580002,202.190002,203.960007,196.796127,2701900
2017-07-11,204.000000,206.660004,204.000000,206.270004,199.024979,2815800
2017-07-12,206.949997,208.610001,206.320007,206.440002,199.189026,2817400
2017-07-13,206.800003,207.000000,205.350006,206.229996,198.986374,1943600
2017-07-14,206.800003,208.729996,206.740005,208.509995,201.186310,3229000
2017-07-17,208.729996,209.720001,208.559998,209.000000,201.659088,2416000
2017-07-18,209.110001,209.190002,207.529999,208.240005,200.925781,1942300
2017-07-19,209.429993,210.929993,208.990005,210.880005,203.473068,2258400
2017-07-20,211.100006,211.250000,209.919998,210.279999,202.894119,2235100
2017-07-21,209.990005,212.199997,209.410004,212.139999,204.688828,2098400
2017-07-24,212.000000,212.639999,211.399994,212.179993,204.727402,2392700
2017-07-25,213.220001,214.000000,211.949997,212.460007,204.997559,2889000
2017-07-26,223.479996,233.979996,223.020004,233.449997,225.250320,14140000
2017-07-27,237.130005,242.679993,236.699997,241.000000,232.535126,10860600
